"app_id","app_name","business_unit","app_owner","environment","criticality","data_classification","deployment_type","cloud_provider","region","deployed_host","deployed_namespace","ingress_url","runtime","container_image","exposed_port","database","repo_url","branch","pipeline","deployment_tool","last_deployed","contacts"
"APP-1001","payments-gateway","Retail Banking","payments-team","production","critical","PCI","kubernetes-gke","GCP","us-central1","gke-prod-cluster.us-central1.gcp.internal","payments","https://payments.bankinternal.io","nodejs18","gcr.io/bank-prod/payments-gateway:3.2.1","8080","postgresql-14","http://localhost:3001/tejdeep/avrc-payments-service-0001.git","main","GitHub Actions","helm","2026-07-18","payments-team@bank.io"
"APP-1002","loans-origination-api","Retail Lending","lending-team","production","critical","PCI","kubernetes-eks","AWS","us-east-1","k8s.loans.us-east-1.elb.amazonaws.com","loans-prod","https://loans-api.bank.io","java17-spring","123456789.dkr.ecr.us-east-1.amazonaws.com/loans-api:2.4.0","8443","aurora-postgres","http://localhost:3001/tejdeep/avrc-loans-service-0002.git","main","GitHub Actions","helm","2026-07-20","lending-team@bank.io"
"APP-1003","cards-management-service","Cards Division","cards-team","production","critical","PCI","kubernetes-aks","Azure","eastus","aks-prod.cards.azure.internal","cards-prod","https://cards.bank.io","dotnet8","bankacr.azurecr.io/cards-management:1.9.5","443","azure-sql","http://localhost:3001/tejdeep/avrc-cards-service-0003.git","main","Azure DevOps","helm","2026-07-17","cards-team@bank.io"
"APP-1004","risk-scoring-engine","Risk & Compliance","risk-team","production","critical","Internal","kubernetes-onprem","On-Prem","dc-east","k8s-prod-01.dc.bank.internal","risk","https://risk-api.internal.bank.io","python3.11-fastapi","registry.internal/risk-engine:4.1.2","8080","mongodb-6","http://localhost:3001/tejdeep/avrc-risk-service-0004.git","main","Forgejo Actions","helm","2026-07-19","risk-team@bank.io"
"APP-1005","fraud-detection-ml","Risk & Compliance","fraud-team","production","critical","PII","kubernetes-openshift","On-Prem","dc-west","openshift.prod.dc-west.bank.internal","fraud-prod","https://fraud.internal.bank.io","python3.11-fastapi","quay.io/bank/fraud-detection:2.0.8","8080","redis-7+postgres","http://localhost:3001/tejdeep/avrc-risk-service-0012.git","main","GitLab CI","oc apply","2026-07-21","fraud-team@bank.io"
"APP-1006","customer-360-portal","Digital Banking","digital-team","production","high","PII","kubernetes-tanzu","On-Prem","dc-east","tanzu-prod.bank.internal","customer-portal","https://mybank.bank.io","nodejs18","harbor.bank.io/digital/customer360:5.3.0","443","oracle-19c","http://localhost:3001/tejdeep/avrc-core-banking-service-0005.git","main","Forgejo Actions","helm","2026-07-16","digital-team@bank.io"
"APP-1007","transaction-processor","Core Banking","core-team","production","critical","PCI","bare-metal","On-Prem","dc-east","txn-proc-01.dc.bank.internal","","http://txn-proc-01.dc.bank.internal:9090","java17-spring","N/A (bare metal JAR)","9090","db2-v11.5","http://localhost:3001/tejdeep/avrc-core-banking-service-0013.git","main","Jenkins","ansible","2026-07-10","core-team@bank.io"
"APP-1008","legacy-core-banking","Core Banking","legacy-team","production","critical","PCI","mainframe-zos","On-Prem","dc-east","mainframe01.bank.internal","","N/A (internal MQ only)","cobol-zos","N/A (COBOL load modules)","3270","db2-z/OS","http://localhost:3001/tejdeep/avrc-core-banking-service-0021.git","master","Jenkins","JCL deploy","2026-06-30","legacy-team@bank.io"
"APP-1009","ibm-websphere-portal","Digital Banking","portal-team","production","high","PII","vm-onprem","On-Prem","dc-east","ws-portal-01.dc.bank.internal","","https://portal.bank.io","java8-websphere","N/A (WAR deploy)","443","db2-v11","http://localhost:3001/tejdeep/avrc-identity-service-0007.git","master","Jenkins","wsadmin","2026-07-05","portal-team@bank.io"
"APP-1010","account-statement-service","Retail Banking","accounts-team","production","high","PII","aws-lambda","AWS","us-east-1","https://api.aws.bank.io/statements","","https://api.bank.io/v1/statements","python3.11","N/A (Lambda ZIP)","N/A","dynamodb","http://localhost:3001/tejdeep/avrc-analytics-service-0006.git","main","GitHub Actions","terraform","2026-07-22","accounts-team@bank.io"
"APP-1011","mobile-push-notifier","Digital Banking","mobile-team","production","medium","Internal","aws-lambda","AWS","us-east-1","https://lambda.us-east-1.amazonaws.com/mobile-push","","https://notify.bank.io","nodejs18","N/A (Lambda ZIP)","N/A","redis-7","http://localhost:3001/tejdeep/avrc-identity-service-0015.git","main","GitHub Actions","serverless-framework","2026-07-20","mobile-team@bank.io"
"APP-1012","report-generator","Finance Ops","finance-team","production","medium","Internal","azure-functions","Azure","eastus","report-generator.azurewebsites.net","","https://reports.bank.io","dotnet8","N/A (Function App ZIP)","N/A","azure-sql","http://localhost:3001/tejdeep/avrc-analytics-service-0014.git","main","Azure DevOps","azure-cli","2026-07-15","finance-team@bank.io"
"APP-1013","compliance-audit-scheduler","Risk & Compliance","compliance-team","production","high","Internal","azure-functions","Azure","westeurope","compliance-scheduler.azurewebsites.net","","https://audit.bank.io","python3.11","N/A (Function App ZIP)","N/A","azure-cosmos","http://localhost:3001/tejdeep/avrc-risk-service-0020.git","main","Azure DevOps","bicep","2026-07-14","compliance-team@bank.io"
